"Index Name","Date","Open","High","Low","Close"
"NIFTY LARGEMIDCAP 250","31 Dec 2009","-","-","-","2402.17"
"NIFTY LARGEMIDCAP 250","30 Dec 2009","-","-","-","2392.44"
"NIFTY LARGEMIDCAP 250","29 Dec 2009","-","-","-","2391.44"
"NIFTY LARGEMIDCAP 250","24 Dec 2009","-","-","-","2382.27"
"NIFTY LARGEMIDCAP 250","23 Dec 2009","-","-","-","2366.95"
"NIFTY LARGEMIDCAP 250","22 Dec 2009","-","-","-","2316.96"
"NIFTY LARGEMIDCAP 250","21 Dec 2009","-","-","-","2295.79"
"NIFTY LARGEMIDCAP 250","18 Dec 2009","-","-","-","2306.71"
"NIFTY LARGEMIDCAP 250","17 Dec 2009","-","-","-","2326.68"
"NIFTY LARGEMIDCAP 250","16 Dec 2009","-","-","-","2315.15"
"NIFTY LARGEMIDCAP 250","15 Dec 2009","-","-","-","2310.83"
"NIFTY LARGEMIDCAP 250","14 Dec 2009","-","-","-","2343.95"
"NIFTY LARGEMIDCAP 250","11 Dec 2009","-","-","-","2356.57"
"NIFTY LARGEMIDCAP 250","10 Dec 2009","-","-","-","2366.33"
"NIFTY LARGEMIDCAP 250","09 Dec 2009","-","-","-","2357.03"
"NIFTY LARGEMIDCAP 250","08 Dec 2009","-","-","-","2369.93"
"NIFTY LARGEMIDCAP 250","07 Dec 2009","-","-","-","2340.83"
"NIFTY LARGEMIDCAP 250","04 Dec 2009","-","-","-","2361.01"
"NIFTY LARGEMIDCAP 250","03 Dec 2009","-","-","-","2366.30"
"NIFTY LARGEMIDCAP 250","02 Dec 2009","-","-","-","2356.08"
"NIFTY LARGEMIDCAP 250","01 Dec 2009","-","-","-","2346.30"
"NIFTY LARGEMIDCAP 250","30 Nov 2009","-","-","-","2306.17"
"NIFTY LARGEMIDCAP 250","27 Nov 2009","-","-","-","2265.00"
"NIFTY LARGEMIDCAP 250","26 Nov 2009","-","-","-","2294.00"
"NIFTY LARGEMIDCAP 250","25 Nov 2009","-","-","-","2330.34"
"NIFTY LARGEMIDCAP 250","24 Nov 2009","-","-","-","2329.37"
"NIFTY LARGEMIDCAP 250","23 Nov 2009","-","-","-","2327.73"
"NIFTY LARGEMIDCAP 250","20 Nov 2009","-","-","-","2312.54"
"NIFTY LARGEMIDCAP 250","19 Nov 2009","-","-","-","2288.49"
"NIFTY LARGEMIDCAP 250","18 Nov 2009","-","-","-","2321.95"
"NIFTY LARGEMIDCAP 250","17 Nov 2009","-","-","-","2316.11"
"NIFTY LARGEMIDCAP 250","16 Nov 2009","-","-","-","2317.36"
"NIFTY LARGEMIDCAP 250","13 Nov 2009","-","-","-","2292.22"
"NIFTY LARGEMIDCAP 250","12 Nov 2009","-","-","-","2280.37"
"NIFTY LARGEMIDCAP 250","11 Nov 2009","-","-","-","2304.29"
"NIFTY LARGEMIDCAP 250","10 Nov 2009","-","-","-","2252.99"
