"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","31 Dec 2009","-","-","-","1999.74"
"NIFTY MICROCAP 250","30 Dec 2009","-","-","-","1981.27"
"NIFTY MICROCAP 250","29 Dec 2009","-","-","-","1960.24"
"NIFTY MICROCAP 250","24 Dec 2009","-","-","-","1938.51"
"NIFTY MICROCAP 250","23 Dec 2009","-","-","-","1929.86"
"NIFTY MICROCAP 250","22 Dec 2009","-","-","-","1898.08"
"NIFTY MICROCAP 250","21 Dec 2009","-","-","-","1878.53"
"NIFTY MICROCAP 250","18 Dec 2009","-","-","-","1877.71"
"NIFTY MICROCAP 250","17 Dec 2009","-","-","-","1886.92"
"NIFTY MICROCAP 250","16 Dec 2009","-","-","-","1872.83"
"NIFTY MICROCAP 250","15 Dec 2009","-","-","-","1865.40"
"NIFTY MICROCAP 250","14 Dec 2009","-","-","-","1893.89"
"NIFTY MICROCAP 250","11 Dec 2009","-","-","-","1902.18"
"NIFTY MICROCAP 250","10 Dec 2009","-","-","-","1916.27"
"NIFTY MICROCAP 250","09 Dec 2009","-","-","-","1903.65"
"NIFTY MICROCAP 250","08 Dec 2009","-","-","-","1899.40"
"NIFTY MICROCAP 250","07 Dec 2009","-","-","-","1874.92"
"NIFTY MICROCAP 250","04 Dec 2009","-","-","-","1882.26"
"NIFTY MICROCAP 250","03 Dec 2009","-","-","-","1877.53"
"NIFTY MICROCAP 250","02 Dec 2009","-","-","-","1859.45"
"NIFTY MICROCAP 250","01 Dec 2009","-","-","-","1850.33"
"NIFTY MICROCAP 250","30 Nov 2009","-","-","-","1811.11"
"NIFTY MICROCAP 250","27 Nov 2009","-","-","-","1773.12"
"NIFTY MICROCAP 250","26 Nov 2009","-","-","-","1812.49"
"NIFTY MICROCAP 250","25 Nov 2009","-","-","-","1833.09"
"NIFTY MICROCAP 250","24 Nov 2009","-","-","-","1838.83"
"NIFTY MICROCAP 250","23 Nov 2009","-","-","-","1834.46"
"NIFTY MICROCAP 250","20 Nov 2009","-","-","-","1822.00"
"NIFTY MICROCAP 250","19 Nov 2009","-","-","-","1808.88"
"NIFTY MICROCAP 250","18 Nov 2009","-","-","-","1824.98"
"NIFTY MICROCAP 250","17 Nov 2009","-","-","-","1806.68"
"NIFTY MICROCAP 250","16 Nov 2009","-","-","-","1803.46"
"NIFTY MICROCAP 250","13 Nov 2009","-","-","-","1787.09"
"NIFTY MICROCAP 250","12 Nov 2009","-","-","-","1778.93"
"NIFTY MICROCAP 250","11 Nov 2009","-","-","-","1787.50"
"NIFTY MICROCAP 250","10 Nov 2009","-","-","-","1764.28"
"NIFTY MICROCAP 250","09 Nov 2009","-","-","-","1766.79"
"NIFTY MICROCAP 250","06 Nov 2009","-","-","-","1725.21"
"NIFTY MICROCAP 250","05 Nov 2009","-","-","-","1680.62"
"NIFTY MICROCAP 250","04 Nov 2009","-","-","-","1650.45"
"NIFTY MICROCAP 250","03 Nov 2009","-","-","-","1620.50"
"NIFTY MICROCAP 250","30 Oct 2009","-","-","-","1698.60"
"NIFTY MICROCAP 250","29 Oct 2009","-","-","-","1710.29"
"NIFTY MICROCAP 250","28 Oct 2009","-","-","-","1738.56"
"NIFTY MICROCAP 250","27 Oct 2009","-","-","-","1749.94"
"NIFTY MICROCAP 250","26 Oct 2009","-","-","-","1828.61"
"NIFTY MICROCAP 250","23 Oct 2009","-","-","-","1858.05"
"NIFTY MICROCAP 250","22 Oct 2009","-","-","-","1849.81"
"NIFTY MICROCAP 250","21 Oct 2009","-","-","-","1883.69"
"NIFTY MICROCAP 250","20 Oct 2009","-","-","-","1880.25"
"NIFTY MICROCAP 250","17 Oct 2009","-","-","-","1880.84"
"NIFTY MICROCAP 250","16 Oct 2009","-","-","-","1854.23"
"NIFTY MICROCAP 250","15 Oct 2009","-","-","-","1842.85"
"NIFTY MICROCAP 250","14 Oct 2009","-","-","-","1834.59"
"NIFTY MICROCAP 250","12 Oct 2009","-","-","-","1808.35"
"NIFTY MICROCAP 250","09 Oct 2009","-","-","-","1788.33"
"NIFTY MICROCAP 250","08 Oct 2009","-","-","-","1791.43"
"NIFTY MICROCAP 250","07 Oct 2009","-","-","-","1789.64"
"NIFTY MICROCAP 250","06 Oct 2009","-","-","-","1783.02"
"NIFTY MICROCAP 250","05 Oct 2009","-","-","-","1790.94"
"NIFTY MICROCAP 250","01 Oct 2009","-","-","-","1834.51"
"NIFTY MICROCAP 250","30 Sep 2009","-","-","-","1828.90"
"NIFTY MICROCAP 250","29 Sep 2009","-","-","-","1807.64"
"NIFTY MICROCAP 250","25 Sep 2009","-","-","-","1792.25"
"NIFTY MICROCAP 250","24 Sep 2009","-","-","-","1774.67"
"NIFTY MICROCAP 250","23 Sep 2009","-","-","-","1761.93"
"NIFTY MICROCAP 250","22 Sep 2009","-","-","-","1785.31"
"NIFTY MICROCAP 250","18 Sep 2009","-","-","-","1766.44"
"NIFTY MICROCAP 250","17 Sep 2009","-","-","-","1754.65"
"NIFTY MICROCAP 250","16 Sep 2009","-","-","-","1757.74"
"NIFTY MICROCAP 250","15 Sep 2009","-","-","-","1740.71"
"NIFTY MICROCAP 250","14 Sep 2009","-","-","-","1712.00"
"NIFTY MICROCAP 250","11 Sep 2009","-","-","-","1706.88"
