"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","31 Dec 2009","2652.70","2667.70","2638.15","2642.15"
"NIFTY MIDCAP 50","30 Dec 2009","2637.10","2651.40","2637.10","2645.55"
"NIFTY MIDCAP 50","29 Dec 2009","2629.05","2649.85","2629.05","2636.15"
"NIFTY MIDCAP 50","24 Dec 2009","2623.15","2641.30","2615.45","2625.85"
"NIFTY MIDCAP 50","23 Dec 2009","2558.60","2616.20","2558.60","2613.60"
"NIFTY MIDCAP 50","22 Dec 2009","2539.00","2573.05","2539.00","2555.50"
"NIFTY MIDCAP 50","21 Dec 2009","2573.50","2584.00","2542.30","2545.40"
"NIFTY MIDCAP 50","18 Dec 2009","2594.65","2594.65","2555.70","2562.55"
"NIFTY MIDCAP 50","17 Dec 2009","2563.40","2589.85","2560.50","2583.20"
"NIFTY MIDCAP 50","16 Dec 2009","2544.10","2565.70","2521.95","2560.90"
"NIFTY MIDCAP 50","15 Dec 2009","2592.05","2599.80","2536.45","2542.05"
"NIFTY MIDCAP 50","14 Dec 2009","2606.95","2614.40","2579.85","2588.95"
"NIFTY MIDCAP 50","11 Dec 2009","2634.25","2648.40","2592.50","2603.90"
"NIFTY MIDCAP 50","10 Dec 2009","2614.85","2629.45","2606.55","2625.95"
"NIFTY MIDCAP 50","09 Dec 2009","2621.70","2639.30","2606.50","2614.90"
"NIFTY MIDCAP 50","08 Dec 2009","2593.80","2631.35","2587.95","2629.05"
"NIFTY MIDCAP 50","07 Dec 2009","2616.30","2626.65","2581.75","2590.65"
"NIFTY MIDCAP 50","04 Dec 2009","2610.75","2629.35","2597.70","2612.40"
"NIFTY MIDCAP 50","03 Dec 2009","2603.25","2637.30","2592.25","2611.20"
"NIFTY MIDCAP 50","02 Dec 2009","2581.00","2605.90","2581.00","2586.70"
"NIFTY MIDCAP 50","01 Dec 2009","2538.05","2576.05","2538.05","2572.75"
"NIFTY MIDCAP 50","30 Nov 2009","2506.80","2540.20","2506.80","2527.85"
"NIFTY MIDCAP 50","27 Nov 2009","2506.25","2506.25","2401.90","2479.60"
"NIFTY MIDCAP 50","26 Nov 2009","2552.30","2561.65","2501.80","2508.65"
"NIFTY MIDCAP 50","25 Nov 2009","2573.65","2592.25","2549.90","2557.70"
"NIFTY MIDCAP 50","24 Nov 2009","2556.35","2586.40","2545.55","2566.75"
"NIFTY MIDCAP 50","23 Nov 2009","2566.50","2567.80","2540.90","2554.55"
"NIFTY MIDCAP 50","20 Nov 2009","2506.80","2555.45","2479.45","2548.30"
"NIFTY MIDCAP 50","19 Nov 2009","2576.55","2587.50","2503.80","2518.25"
"NIFTY MIDCAP 50","18 Nov 2009","2563.05","2582.85","2558.90","2570.45"
"NIFTY MIDCAP 50","17 Nov 2009","2572.30","2588.40","2543.40","2563.60"
"NIFTY MIDCAP 50","16 Nov 2009","2548.15","2571.70","2548.15","2563.95"
"NIFTY MIDCAP 50","13 Nov 2009","2525.90","2550.95","2524.10","2538.45"
"NIFTY MIDCAP 50","12 Nov 2009","2570.45","2576.00","2514.95","2528.55"
"NIFTY MIDCAP 50","11 Nov 2009","2500.15","2566.60","2494.50","2564.95"
"NIFTY MIDCAP 50","10 Nov 2009","2508.30","2537.00","2487.15","2495.25"
"NIFTY MIDCAP 50","09 Nov 2009","2460.40","2512.90","2449.05","2507.25"
"NIFTY MIDCAP 50","06 Nov 2009","2422.65","2468.85","2422.65","2448.55"
"NIFTY MIDCAP 50","05 Nov 2009","2358.05","2411.60","2342.80","2406.35"
"NIFTY MIDCAP 50","04 Nov 2009","2301.00","2364.10","2267.20","2356.25"
"NIFTY MIDCAP 50","03 Nov 2009","2350.50","2364.25","2270.00","2277.10"
"NIFTY MIDCAP 50","30 Oct 2009","2383.00","2432.45","2350.45","2357.00"
"NIFTY MIDCAP 50","29 Oct 2009","2395.65","2402.15","2350.60","2358.70"
"NIFTY MIDCAP 50","28 Oct 2009","2422.85","2437.25","2370.35","2415.00"
"NIFTY MIDCAP 50","27 Oct 2009","2504.80","2512.10","2414.05","2427.70"
"NIFTY MIDCAP 50","26 Oct 2009","2553.65","2566.15","2514.90","2518.95"
"NIFTY MIDCAP 50","23 Oct 2009","2550.65","2584.20","2545.05","2556.45"
"NIFTY MIDCAP 50","22 Oct 2009","2597.85","2601.95","2520.25","2535.30"
"NIFTY MIDCAP 50","21 Oct 2009","2645.90","2659.00","2591.00","2598.65"
"NIFTY MIDCAP 50","20 Oct 2009","2650.30","2666.80","2632.55","2644.10"
"NIFTY MIDCAP 50","17 Oct 2009","2643.20","2658.20","2632.70","2642.15"
"NIFTY MIDCAP 50","16 Oct 2009","2614.75","2638.55","2612.50","2636.00"
