"Index Name","Date","Open","High","Low","Close"
"NIFTY NEXT 50","31 Dec 2009","10368.85","10456.75","10368.85","10382.70"
"NIFTY NEXT 50","30 Dec 2009","10314.35","10377.00","10311.45","10355.40"
"NIFTY NEXT 50","29 Dec 2009","10349.20","10387.95","10318.10","10328.55"
"NIFTY NEXT 50","24 Dec 2009","10330.95","10378.40","10283.40","10357.95"
"NIFTY NEXT 50","23 Dec 2009","10135.20","10289.05","10135.20","10282.25"
"NIFTY NEXT 50","22 Dec 2009","10019.25","10155.55","10019.25","10127.40"
"NIFTY NEXT 50","21 Dec 2009","10099.75","10146.00","10020.75","10029.25"
"NIFTY NEXT 50","18 Dec 2009","10140.40","10187.15","10052.60","10069.95"
"NIFTY NEXT 50","17 Dec 2009","10078.00","10152.70","10051.60","10139.15"
"NIFTY NEXT 50","16 Dec 2009","10008.45","10095.00","9961.35","10063.50"
"NIFTY NEXT 50","15 Dec 2009","10223.15","10253.20","10007.85","10031.05"
"NIFTY NEXT 50","14 Dec 2009","10211.60","10267.20","10153.70","10197.95"
"NIFTY NEXT 50","11 Dec 2009","10321.75","10375.25","10173.70","10223.05"
"NIFTY NEXT 50","10 Dec 2009","10243.30","10290.80","10215.10","10269.70"
"NIFTY NEXT 50","09 Dec 2009","10284.05","10338.95","10200.65","10226.90"
"NIFTY NEXT 50","08 Dec 2009","10127.55","10338.80","10127.55","10330.70"
"NIFTY NEXT 50","07 Dec 2009","10269.35","10322.00","10116.80","10147.35"
"NIFTY NEXT 50","04 Dec 2009","10260.85","10327.30","10219.10","10273.25"
"NIFTY NEXT 50","03 Dec 2009","10244.25","10355.95","10207.60","10272.25"
"NIFTY NEXT 50","02 Dec 2009","10178.70","10258.20","10167.90","10197.60"
"NIFTY NEXT 50","01 Dec 2009","9952.80","10157.60","9952.80","10142.35"
"NIFTY NEXT 50","30 Nov 2009","9848.75","10010.60","9848.75","9933.20"
"NIFTY NEXT 50","27 Nov 2009","9838.55","9838.55","9473.45","9760.45"
"NIFTY NEXT 50","26 Nov 2009","10007.35","10026.90","9870.70","9883.70"
"NIFTY NEXT 50","25 Nov 2009","10015.95","10096.10","9954.90","9991.55"
"NIFTY NEXT 50","24 Nov 2009","9978.55","10047.45","9915.70","9993.15"
"NIFTY NEXT 50","23 Nov 2009","9950.00","9997.30","9915.55","9946.40"
"NIFTY NEXT 50","20 Nov 2009","9824.05","9938.45","9713.05","9922.70"
"NIFTY NEXT 50","19 Nov 2009","10024.30","10069.55","9810.10","9862.65"
"NIFTY NEXT 50","18 Nov 2009","10006.25","10096.50","9995.55","10015.55"
"NIFTY NEXT 50","17 Nov 2009","10033.90","10056.05","9923.05","10016.90"
"NIFTY NEXT 50","16 Nov 2009","9904.55","10032.25","9904.55","9994.50"
"NIFTY NEXT 50","13 Nov 2009","9776.00","9933.55","9776.00","9880.75"
