"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP SELECT","31 Dec 2018","-","-","-","4541.70"
"NIFTY MIDCAP SELECT","28 Dec 2018","-","-","-","4527.15"
"NIFTY MIDCAP SELECT","27 Dec 2018","-","-","-","4485.25"
"NIFTY MIDCAP SELECT","26 Dec 2018","-","-","-","4465.25"
"NIFTY MIDCAP SELECT","24 Dec 2018","-","-","-","4464.18"
"NIFTY MIDCAP SELECT","21 Dec 2018","-","-","-","4474.56"
"NIFTY MIDCAP SELECT","20 Dec 2018","-","-","-","4569.02"
"NIFTY MIDCAP SELECT","19 Dec 2018","-","-","-","4553.11"
"NIFTY MIDCAP SELECT","18 Dec 2018","-","-","-","4490.97"
"NIFTY MIDCAP SELECT","17 Dec 2018","-","-","-","4468.05"
"NIFTY MIDCAP SELECT","14 Dec 2018","-","-","-","4439.65"
"NIFTY MIDCAP SELECT","13 Dec 2018","-","-","-","4425.40"
"NIFTY MIDCAP SELECT","12 Dec 2018","-","-","-","4411.37"
"NIFTY MIDCAP SELECT","11 Dec 2018","-","-","-","4303.21"
"NIFTY MIDCAP SELECT","10 Dec 2018","-","-","-","4237.97"
"NIFTY MIDCAP SELECT","07 Dec 2018","-","-","-","4306.79"
"NIFTY MIDCAP SELECT","06 Dec 2018","-","-","-","4296.40"
"NIFTY MIDCAP SELECT","05 Dec 2018","-","-","-","4372.23"
"NIFTY MIDCAP SELECT","04 Dec 2018","-","-","-","4449.23"
"NIFTY MIDCAP SELECT","03 Dec 2018","-","-","-","4469.29"
"NIFTY MIDCAP SELECT","30 Nov 2018","-","-","-","4446.93"
"NIFTY MIDCAP SELECT","29 Nov 2018","-","-","-","4439.43"
"NIFTY MIDCAP SELECT","28 Nov 2018","-","-","-","4405.06"
"NIFTY MIDCAP SELECT","27 Nov 2018","-","-","-","4467.06"
"NIFTY MIDCAP SELECT","26 Nov 2018","-","-","-","4444.98"
"NIFTY MIDCAP SELECT","22 Nov 2018","-","-","-","4428.41"
"NIFTY MIDCAP SELECT","21 Nov 2018","-","-","-","4476.90"
"NIFTY MIDCAP SELECT","20 Nov 2018","-","-","-","4430.33"
"NIFTY MIDCAP SELECT","19 Nov 2018","-","-","-","4471.69"
"NIFTY MIDCAP SELECT","16 Nov 2018","-","-","-","4436.71"
"NIFTY MIDCAP SELECT","15 Nov 2018","-","-","-","4451.82"
"NIFTY MIDCAP SELECT","14 Nov 2018","-","-","-","4428.64"
"NIFTY MIDCAP SELECT","13 Nov 2018","-","-","-","4436.45"
"NIFTY MIDCAP SELECT","12 Nov 2018","-","-","-","4412.87"
"NIFTY MIDCAP SELECT","09 Nov 2018","-","-","-","4454.54"
"NIFTY MIDCAP SELECT","07 Nov 2018","-","-","-","4398.94"
"NIFTY MIDCAP SELECT","06 Nov 2018","-","-","-","4371.34"
"NIFTY MIDCAP SELECT","05 Nov 2018","-","-","-","4404.30"
"NIFTY MIDCAP SELECT","02 Nov 2018","-","-","-","4442.60"
"NIFTY MIDCAP SELECT","01 Nov 2018","-","-","-","4385.38"
"NIFTY MIDCAP SELECT","31 Oct 2018","-","-","-","4356.57"
"NIFTY MIDCAP SELECT","30 Oct 2018","-","-","-","4303.58"
"NIFTY MIDCAP SELECT","29 Oct 2018","-","-","-","4287.73"
"NIFTY MIDCAP SELECT","26 Oct 2018","-","-","-","4137.70"
"NIFTY MIDCAP SELECT","25 Oct 2018","-","-","-","4170.46"
"NIFTY MIDCAP SELECT","24 Oct 2018","-","-","-","4169.00"
"NIFTY MIDCAP SELECT","23 Oct 2018","-","-","-","4088.55"
"NIFTY MIDCAP SELECT","22 Oct 2018","-","-","-","4112.26"
"NIFTY MIDCAP SELECT","19 Oct 2018","-","-","-","4170.73"
"NIFTY MIDCAP SELECT","17 Oct 2018","-","-","-","4201.99"
"NIFTY MIDCAP SELECT","16 Oct 2018","-","-","-","4284.74"
"NIFTY MIDCAP SELECT","15 Oct 2018","-","-","-","4216.12"
"NIFTY MIDCAP SELECT","12 Oct 2018","-","-","-","4197.43"
"NIFTY MIDCAP SELECT","11 Oct 2018","-","-","-","4065.74"
"NIFTY MIDCAP SELECT","10 Oct 2018","-","-","-","4205.82"
"NIFTY MIDCAP SELECT","09 Oct 2018","-","-","-","4016.33"
"NIFTY MIDCAP SELECT","08 Oct 2018","-","-","-","4009.19"
"NIFTY MIDCAP SELECT","05 Oct 2018","-","-","-","4026.62"
"NIFTY MIDCAP SELECT","04 Oct 2018","-","-","-","4149.26"
"NIFTY MIDCAP SELECT","03 Oct 2018","-","-","-","4262.86"
"NIFTY MIDCAP SELECT","01 Oct 2018","-","-","-","4333.18"
"NIFTY MIDCAP SELECT","28 Sep 2018","-","-","-","4283.33"
"NIFTY MIDCAP SELECT","27 Sep 2018","-","-","-","4359.90"
"NIFTY MIDCAP SELECT","26 Sep 2018","-","-","-","4451.74"
"NIFTY MIDCAP SELECT","25 Sep 2018","-","-","-","4425.74"
"NIFTY MIDCAP SELECT","24 Sep 2018","-","-","-","4375.35"
"NIFTY MIDCAP SELECT","21 Sep 2018","-","-","-","4484.44"
"NIFTY MIDCAP SELECT","19 Sep 2018","-","-","-","4559.29"
"NIFTY MIDCAP SELECT","18 Sep 2018","-","-","-","4602.72"
"NIFTY MIDCAP SELECT","17 Sep 2018","-","-","-","4658.18"
"NIFTY MIDCAP SELECT","14 Sep 2018","-","-","-","4693.57"
"NIFTY MIDCAP SELECT","12 Sep 2018","-","-","-","4587.42"
"NIFTY MIDCAP SELECT","11 Sep 2018","-","-","-","4556.16"
"NIFTY MIDCAP SELECT","10 Sep 2018","-","-","-","4608.60"
"NIFTY MIDCAP SELECT","07 Sep 2018","-","-","-","4705.02"
"NIFTY MIDCAP SELECT","06 Sep 2018","-","-","-","4623.73"
"NIFTY MIDCAP SELECT","05 Sep 2018","-","-","-","4607.49"
"NIFTY MIDCAP SELECT","04 Sep 2018","-","-","-","4619.07"
"NIFTY MIDCAP SELECT","03 Sep 2018","-","-","-","4757.72"
"NIFTY MIDCAP SELECT","31 Aug 2018","-","-","-","4785.24"
"NIFTY MIDCAP SELECT","30 Aug 2018","-","-","-","4785.83"
"NIFTY MIDCAP SELECT","29 Aug 2018","-","-","-","4797.87"
"NIFTY MIDCAP SELECT","28 Aug 2018","-","-","-","4769.86"
"NIFTY MIDCAP SELECT","27 Aug 2018","-","-","-","4780.81"
"NIFTY MIDCAP SELECT","24 Aug 2018","-","-","-","4715.84"
"NIFTY MIDCAP SELECT","23 Aug 2018","-","-","-","4720.52"
"NIFTY MIDCAP SELECT","21 Aug 2018","-","-","-","4717.91"
"NIFTY MIDCAP SELECT","20 Aug 2018","-","-","-","4723.52"
"NIFTY MIDCAP SELECT","17 Aug 2018","-","-","-","4658.39"
"NIFTY MIDCAP SELECT","16 Aug 2018","-","-","-","4618.17"
"NIFTY MIDCAP SELECT","14 Aug 2018","-","-","-","4613.10"
"NIFTY MIDCAP SELECT","13 Aug 2018","-","-","-","4564.33"
"NIFTY MIDCAP SELECT","10 Aug 2018","-","-","-","4562.97"
"NIFTY MIDCAP SELECT","09 Aug 2018","-","-","-","4570.55"
"NIFTY MIDCAP SELECT","08 Aug 2018","-","-","-","4541.11"
"NIFTY MIDCAP SELECT","07 Aug 2018","-","-","-","4538.96"
"NIFTY MIDCAP SELECT","06 Aug 2018","-","-","-","4571.14"
"NIFTY MIDCAP SELECT","03 Aug 2018","-","-","-","4572.69"
"NIFTY MIDCAP SELECT","02 Aug 2018","-","-","-","4556.51"
"NIFTY MIDCAP SELECT","01 Aug 2018","-","-","-","4550.17"
"NIFTY MIDCAP SELECT","31 Jul 2018","-","-","-","4568.42"
"NIFTY MIDCAP SELECT","30 Jul 2018","-","-","-","4539.35"
"NIFTY MIDCAP SELECT","27 Jul 2018","-","-","-","4539.48"
"NIFTY MIDCAP SELECT","26 Jul 2018","-","-","-","4467.98"
"NIFTY MIDCAP SELECT","25 Jul 2018","-","-","-","4437.15"
"NIFTY MIDCAP SELECT","24 Jul 2018","-","-","-","4448.91"
"NIFTY MIDCAP SELECT","23 Jul 2018","-","-","-","4413.97"
"NIFTY MIDCAP SELECT","20 Jul 2018","-","-","-","4381.83"
"NIFTY MIDCAP SELECT","19 Jul 2018","-","-","-","4344.96"
"NIFTY MIDCAP SELECT","18 Jul 2018","-","-","-","4373.94"
"NIFTY MIDCAP SELECT","17 Jul 2018","-","-","-","4437.99"
"NIFTY MIDCAP SELECT","16 Jul 2018","-","-","-","4297.67"
"NIFTY MIDCAP SELECT","13 Jul 2018","-","-","-","4408.39"
"NIFTY MIDCAP SELECT","12 Jul 2018","-","-","-","4456.84"
"NIFTY MIDCAP SELECT","11 Jul 2018","-","-","-","4486.06"
"NIFTY MIDCAP SELECT","10 Jul 2018","-","-","-","4516.61"
"NIFTY MIDCAP SELECT","09 Jul 2018","-","-","-","4514.58"
"NIFTY MIDCAP SELECT","06 Jul 2018","-","-","-","4412.33"
"NIFTY MIDCAP SELECT","05 Jul 2018","-","-","-","4390.78"
"NIFTY MIDCAP SELECT","04 Jul 2018","-","-","-","4440.67"
"NIFTY MIDCAP SELECT","03 Jul 2018","-","-","-","4426.92"
"NIFTY MIDCAP SELECT","02 Jul 2018","-","-","-","4358.73"
"NIFTY MIDCAP SELECT","29 Jun 2018","-","-","-","4374.45"
"NIFTY MIDCAP SELECT","28 Jun 2018","-","-","-","4304.71"
"NIFTY MIDCAP SELECT","27 Jun 2018","-","-","-","4387.20"
"NIFTY MIDCAP SELECT","26 Jun 2018","-","-","-","4465.09"
"NIFTY MIDCAP SELECT","25 Jun 2018","-","-","-","4458.78"
"NIFTY MIDCAP SELECT","22 Jun 2018","-","-","-","4460.08"
"NIFTY MIDCAP SELECT","21 Jun 2018","-","-","-","4437.73"
"NIFTY MIDCAP SELECT","20 Jun 2018","-","-","-","4468.84"
"NIFTY MIDCAP SELECT","19 Jun 2018","-","-","-","4438.96"
"NIFTY MIDCAP SELECT","18 Jun 2018","-","-","-","4506.25"
"NIFTY MIDCAP SELECT","15 Jun 2018","-","-","-","4511.10"
"NIFTY MIDCAP SELECT","14 Jun 2018","-","-","-","4522.67"
"NIFTY MIDCAP SELECT","13 Jun 2018","-","-","-","4512.33"
"NIFTY MIDCAP SELECT","12 Jun 2018","-","-","-","4521.78"
"NIFTY MIDCAP SELECT","11 Jun 2018","-","-","-","4480.63"
"NIFTY MIDCAP SELECT","08 Jun 2018","-","-","-","4493.01"
"NIFTY MIDCAP SELECT","07 Jun 2018","-","-","-","4480.77"
"NIFTY MIDCAP SELECT","06 Jun 2018","-","-","-","4423.57"
"NIFTY MIDCAP SELECT","05 Jun 2018","-","-","-","4363.92"
"NIFTY MIDCAP SELECT","04 Jun 2018","-","-","-","4396.91"
"NIFTY MIDCAP SELECT","01 Jun 2018","-","-","-","4439.01"
"NIFTY MIDCAP SELECT","31 May 2018","-","-","-","4501.31"
"NIFTY MIDCAP SELECT","30 May 2018","-","-","-","4520.28"
"NIFTY MIDCAP SELECT","29 May 2018","-","-","-","4519.84"
"NIFTY MIDCAP SELECT","28 May 2018","-","-","-","4541.60"
"NIFTY MIDCAP SELECT","25 May 2018","-","-","-","4494.50"
"NIFTY MIDCAP SELECT","24 May 2018","-","-","-","4360.45"
"NIFTY MIDCAP SELECT","23 May 2018","-","-","-","4399.71"
"NIFTY MIDCAP SELECT","22 May 2018","-","-","-","4425.70"
"NIFTY MIDCAP SELECT","21 May 2018","-","-","-","4401.13"
"NIFTY MIDCAP SELECT","18 May 2018","-","-","-","4484.88"
"NIFTY MIDCAP SELECT","17 May 2018","-","-","-","4538.59"
"NIFTY MIDCAP SELECT","16 May 2018","-","-","-","4539.33"
"NIFTY MIDCAP SELECT","15 May 2018","-","-","-","4565.46"
"NIFTY MIDCAP SELECT","14 May 2018","-","-","-","4614.63"
"NIFTY MIDCAP SELECT","11 May 2018","-","-","-","4667.78"
"NIFTY MIDCAP SELECT","10 May 2018","-","-","-","4631.15"
"NIFTY MIDCAP SELECT","09 May 2018","-","-","-","4707.06"
"NIFTY MIDCAP SELECT","08 May 2018","-","-","-","4752.38"
"NIFTY MIDCAP SELECT","07 May 2018","-","-","-","4759.39"
