Index Name,Date,Open,High,Low,Close,index_name
NIFTY 50,29 Dec 2023,21737.65,21770.3,21676.9,21731.4,NIFTY 50
NIFTY 50,28 Dec 2023,21715.0,21801.45,21678.0,21778.7,NIFTY 50
NIFTY 50,27 Dec 2023,21497.65,21675.75,21495.8,21654.75,NIFTY 50
NIFTY 50,26 Dec 2023,21365.2,21477.15,21329.45,21441.35,NIFTY 50
NIFTY 50,22 Dec 2023,21295.85,21390.5,21232.45,21349.4,NIFTY 50
NIFTY 50,21 Dec 2023,21033.95,21288.35,20976.8,21255.05,NIFTY 50
NIFTY 50,20 Dec 2023,21543.5,21593.0,21087.35,21150.15,NIFTY 50
NIFTY 50,19 Dec 2023,21477.65,21505.05,21337.75,21453.1,NIFTY 50
NIFTY 50,18 Dec 2023,21434.8,21482.8,21365.35,21418.65,NIFTY 50
NIFTY 50,15 Dec 2023,21287.45,21492.3,21235.3,21456.65,NIFTY 50
NIFTY 50,14 Dec 2023,21110.4,21210.9,21074.45,21182.7,NIFTY 50
NIFTY 50,13 Dec 2023,20929.75,20950.0,20769.5,20926.35,NIFTY 50
NIFTY 50,12 Dec 2023,21018.55,21037.9,20867.15,20906.4,NIFTY 50
NIFTY 50,11 Dec 2023,20965.3,21026.1,20923.7,20997.1,NIFTY 50
NIFTY 50,08 Dec 2023,20934.1,21006.1,20862.7,20969.4,NIFTY 50
NIFTY 50,07 Dec 2023,20932.4,20941.25,20850.8,20901.15,NIFTY 50
NIFTY 50,06 Dec 2023,20950.75,20961.95,20852.15,20937.7,NIFTY 50
NIFTY 50,05 Dec 2023,20808.9,20864.05,20711.15,20855.1,NIFTY 50
NIFTY 50,04 Dec 2023,20601.95,20702.65,20507.75,20686.8,NIFTY 50
NIFTY 50,01 Dec 2023,20194.1,20291.55,20183.7,20267.9,NIFTY 50
NIFTY 50,30 Nov 2023,20108.5,20158.7,20015.85,20133.15,NIFTY 50
NIFTY 50,29 Nov 2023,19976.55,20104.65,19956.3,20096.6,NIFTY 50
NIFTY 50,28 Nov 2023,19844.65,19916.85,19800.0,19889.7,NIFTY 50
