"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA FPI 150","31 Dec 2024","-","-","-","1490.90"
"NIFTY INDIA FPI 150","30 Dec 2024","-","-","-","1491.43"
"NIFTY INDIA FPI 150","27 Dec 2024","-","-","-","1496.20"
"NIFTY INDIA FPI 150","26 Dec 2024","-","-","-","1495.84"
"NIFTY INDIA FPI 150","24 Dec 2024","-","-","-","1492.90"
"NIFTY INDIA FPI 150","23 Dec 2024","-","-","-","1494.42"
"NIFTY INDIA FPI 150","20 Dec 2024","-","-","-","1486.68"
"NIFTY INDIA FPI 150","19 Dec 2024","-","-","-","1515.19"
"NIFTY INDIA FPI 150","18 Dec 2024","-","-","-","1528.75"
"NIFTY INDIA FPI 150","17 Dec 2024","-","-","-","1538.32"
"NIFTY INDIA FPI 150","16 Dec 2024","-","-","-","1557.34"
"NIFTY INDIA FPI 150","13 Dec 2024","-","-","-","1560.81"
"NIFTY INDIA FPI 150","12 Dec 2024","-","-","-","1551.44"
"NIFTY INDIA FPI 150","11 Dec 2024","-","-","-","1556.44"
"NIFTY INDIA FPI 150","10 Dec 2024","-","-","-","1552.90"
"NIFTY INDIA FPI 150","09 Dec 2024","-","-","-","1552.11"
"NIFTY INDIA FPI 150","06 Dec 2024","-","-","-","1555.43"
"NIFTY INDIA FPI 150","05 Dec 2024","-","-","-","1554.78"
"NIFTY INDIA FPI 150","04 Dec 2024","-","-","-","1541.84"
"NIFTY INDIA FPI 150","03 Dec 2024","-","-","-","1539.18"
"NIFTY INDIA FPI 150","02 Dec 2024","-","-","-","1528.44"
"NIFTY INDIA FPI 150","29 Nov 2024","-","-","-","1516.56"
"NIFTY INDIA FPI 150","28 Nov 2024","-","-","-","1503.07"
"NIFTY INDIA FPI 150","27 Nov 2024","-","-","-","1519.64"
"NIFTY INDIA FPI 150","26 Nov 2024","-","-","-","1511.17"
"NIFTY INDIA FPI 150","25 Nov 2024","-","-","-","1510.38"
"NIFTY INDIA FPI 150","22 Nov 2024","-","-","-","1491.67"
"NIFTY INDIA FPI 150","21 Nov 2024","-","-","-","1460.97"
"NIFTY INDIA FPI 150","19 Nov 2024","-","-","-","1474.87"
"NIFTY INDIA FPI 150","18 Nov 2024","-","-","-","1469.20"
"NIFTY INDIA FPI 150","14 Nov 2024","-","-","-","1473.83"
"NIFTY INDIA FPI 150","13 Nov 2024","-","-","-","1470.92"
"NIFTY INDIA FPI 150","12 Nov 2024","-","-","-","1495.03"
"NIFTY INDIA FPI 150","11 Nov 2024","-","-","-","1511.81"
"NIFTY INDIA FPI 150","08 Nov 2024","-","-","-","1515.35"
"NIFTY INDIA FPI 150","07 Nov 2024","-","-","-","1522.86"
"NIFTY INDIA FPI 150","06 Nov 2024","-","-","-","1540.00"
"NIFTY INDIA FPI 150","05 Nov 2024","-","-","-","1513.78"
"NIFTY INDIA FPI 150","04 Nov 2024","-","-","-","1503.46"
"NIFTY INDIA FPI 150","01 Nov 2024","-","-","-","1523.34"
"NIFTY INDIA FPI 150","31 Oct 2024","-","-","-","1514.95"
"NIFTY INDIA FPI 150","30 Oct 2024","-","-","-","1524.35"
"NIFTY INDIA FPI 150","29 Oct 2024","-","-","-","1530.81"
"NIFTY INDIA FPI 150","28 Oct 2024","-","-","-","1524.88"
"NIFTY INDIA FPI 150","25 Oct 2024","-","-","-","1515.42"
"NIFTY INDIA FPI 150","24 Oct 2024","-","-","-","1532.96"
"NIFTY INDIA FPI 150","23 Oct 2024","-","-","-","1535.44"
"NIFTY INDIA FPI 150","22 Oct 2024","-","-","-","1534.95"
"NIFTY INDIA FPI 150","21 Oct 2024","-","-","-","1561.46"
"NIFTY INDIA FPI 150","18 Oct 2024","-","-","-","1572.89"
"NIFTY INDIA FPI 150","17 Oct 2024","-","-","-","1570.28"
"NIFTY INDIA FPI 150","16 Oct 2024","-","-","-","1588.16"
"NIFTY INDIA FPI 150","15 Oct 2024","-","-","-","1593.16"
"NIFTY INDIA FPI 150","14 Oct 2024","-","-","-","1596.14"
"NIFTY INDIA FPI 150","11 Oct 2024","-","-","-","1588.97"
"NIFTY INDIA FPI 150","10 Oct 2024","-","-","-","1587.64"
"NIFTY INDIA FPI 150","09 Oct 2024","-","-","-","1589.64"
"NIFTY INDIA FPI 150","08 Oct 2024","-","-","-","1586.45"
"NIFTY INDIA FPI 150","07 Oct 2024","-","-","-","1565.66"
"NIFTY INDIA FPI 150","04 Oct 2024","-","-","-","1585.16"
"NIFTY INDIA FPI 150","03 Oct 2024","-","-","-","1600.98"
"NIFTY INDIA FPI 150","01 Oct 2024","-","-","-","1636.54"
"NIFTY INDIA FPI 150","30 Sep 2024","-","-","-","1635.60"
"NIFTY INDIA FPI 150","27 Sep 2024","-","-","-","1654.50"
"NIFTY INDIA FPI 150","26 Sep 2024","-","-","-","1650.12"
"NIFTY INDIA FPI 150","25 Sep 2024","-","-","-","1639.40"
"NIFTY INDIA FPI 150","24 Sep 2024","-","-","-","1640.40"
"NIFTY INDIA FPI 150","23 Sep 2024","-","-","-","1639.56"
"NIFTY INDIA FPI 150","20 Sep 2024","-","-","-","1626.46"
"NIFTY INDIA FPI 150","19 Sep 2024","-","-","-","1605.23"
"NIFTY INDIA FPI 150","18 Sep 2024","-","-","-","1607.63"
"NIFTY INDIA FPI 150","17 Sep 2024","-","-","-","1617.40"
"NIFTY INDIA FPI 150","16 Sep 2024","-","-","-","1616.81"
"NIFTY INDIA FPI 150","13 Sep 2024","-","-","-","1615.69"
"NIFTY INDIA FPI 150","12 Sep 2024","-","-","-","1616.79"
"NIFTY INDIA FPI 150","11 Sep 2024","-","-","-","1587.74"
"NIFTY INDIA FPI 150","10 Sep 2024","-","-","-","1594.66"
"NIFTY INDIA FPI 150","09 Sep 2024","-","-","-","1585.76"
"NIFTY INDIA FPI 150","06 Sep 2024","-","-","-","1584.13"
"NIFTY INDIA FPI 150","05 Sep 2024","-","-","-","1602.80"
"NIFTY INDIA FPI 150","04 Sep 2024","-","-","-","1604.94"
"NIFTY INDIA FPI 150","03 Sep 2024","-","-","-","1608.52"
"NIFTY INDIA FPI 150","02 Sep 2024","-","-","-","1608.85"
"NIFTY INDIA FPI 150","30 Aug 2024","-","-","-","1606.29"
"NIFTY INDIA FPI 150","29 Aug 2024","-","-","-","1599.83"
"NIFTY INDIA FPI 150","28 Aug 2024","-","-","-","1596.93"
"NIFTY INDIA FPI 150","27 Aug 2024","-","-","-","1593.86"
"NIFTY INDIA FPI 150","26 Aug 2024","-","-","-","1593.54"
"NIFTY INDIA FPI 150","23 Aug 2024","-","-","-","1582.13"
"NIFTY INDIA FPI 150","22 Aug 2024","-","-","-","1584.28"
"NIFTY INDIA FPI 150","21 Aug 2024","-","-","-","1579.95"
"NIFTY INDIA FPI 150","20 Aug 2024","-","-","-","1573.93"
"NIFTY INDIA FPI 150","19 Aug 2024","-","-","-","1564.66"
"NIFTY INDIA FPI 150","16 Aug 2024","-","-","-","1558.50"
"NIFTY INDIA FPI 150","14 Aug 2024","-","-","-","1532.18"
"NIFTY INDIA FPI 150","13 Aug 2024","-","-","-","1533.61"
"NIFTY INDIA FPI 150","12 Aug 2024","-","-","-","1544.82"
"NIFTY INDIA FPI 150","09 Aug 2024","-","-","-","1546.53"
"NIFTY INDIA FPI 150","08 Aug 2024","-","-","-","1530.25"
"NIFTY INDIA FPI 150","07 Aug 2024","-","-","-","1543.13"
"NIFTY INDIA FPI 150","06 Aug 2024","-","-","-","1514.89"
"NIFTY INDIA FPI 150","05 Aug 2024","-","-","-","1521.42"
"NIFTY INDIA FPI 150","02 Aug 2024","-","-","-","1567.89"
"NIFTY INDIA FPI 150","01 Aug 2024","-","-","-","1586.66"
"NIFTY INDIA FPI 150","31 Jul 2024","-","-","-","1586.89"
"NIFTY INDIA FPI 150","30 Jul 2024","-","-","-","1579.00"
"NIFTY INDIA FPI 150","29 Jul 2024","-","-","-","1577.54"
"NIFTY INDIA FPI 150","26 Jul 2024","-","-","-","1572.27"
"NIFTY INDIA FPI 150","25 Jul 2024","-","-","-","1542.45"
"NIFTY INDIA FPI 150","24 Jul 2024","-","-","-","1541.76"
"NIFTY INDIA FPI 150","23 Jul 2024","-","-","-","1540.20"
"NIFTY INDIA FPI 150","22 Jul 2024","-","-","-","1542.53"
"NIFTY INDIA FPI 150","19 Jul 2024","-","-","-","1538.28"
"NIFTY INDIA FPI 150","18 Jul 2024","-","-","-","1562.82"
"NIFTY INDIA FPI 150","16 Jul 2024","-","-","-","1558.25"
"NIFTY INDIA FPI 150","15 Jul 2024","-","-","-","1559.45"
"NIFTY INDIA FPI 150","12 Jul 2024","-","-","-","1551.30"
"NIFTY INDIA FPI 150","11 Jul 2024","-","-","-","1540.64"
"NIFTY INDIA FPI 150","10 Jul 2024","-","-","-","1539.33"
"NIFTY INDIA FPI 150","09 Jul 2024","-","-","-","1544.77"
"NIFTY INDIA FPI 150","08 Jul 2024","-","-","-","1538.64"
"NIFTY INDIA FPI 150","05 Jul 2024","-","-","-","1539.17"
"NIFTY INDIA FPI 150","04 Jul 2024","-","-","-","1531.86"
"NIFTY INDIA FPI 150","03 Jul 2024","-","-","-","1528.21"
"NIFTY INDIA FPI 150","02 Jul 2024","-","-","-","1518.91"
"NIFTY INDIA FPI 150","01 Jul 2024","-","-","-","1521.92"
"NIFTY INDIA FPI 150","28 Jun 2024","-","-","-","1512.28"
"NIFTY INDIA FPI 150","27 Jun 2024","-","-","-","1509.99"
"NIFTY INDIA FPI 150","26 Jun 2024","-","-","-","1499.80"
"NIFTY INDIA FPI 150","25 Jun 2024","-","-","-","1493.88"
"NIFTY INDIA FPI 150","24 Jun 2024","-","-","-","1489.97"
"NIFTY INDIA FPI 150","21 Jun 2024","-","-","-","1486.40"
"NIFTY INDIA FPI 150","20 Jun 2024","-","-","-","1490.67"
"NIFTY INDIA FPI 150","19 Jun 2024","-","-","-","1485.93"
"NIFTY INDIA FPI 150","18 Jun 2024","-","-","-","1496.16"
"NIFTY INDIA FPI 150","14 Jun 2024","-","-","-","1488.82"
"NIFTY INDIA FPI 150","13 Jun 2024","-","-","-","1481.14"
"NIFTY INDIA FPI 150","12 Jun 2024","-","-","-","1473.48"
"NIFTY INDIA FPI 150","11 Jun 2024","-","-","-","1467.92"
"NIFTY INDIA FPI 150","10 Jun 2024","-","-","-","1466.80"
"NIFTY INDIA FPI 150","07 Jun 2024","-","-","-","1466.48"
"NIFTY INDIA FPI 150","06 Jun 2024","-","-","-","1436.49"
"NIFTY INDIA FPI 150","05 Jun 2024","-","-","-","1418.61"
"NIFTY INDIA FPI 150","04 Jun 2024","-","-","-","1367.80"
"NIFTY INDIA FPI 150","03 Jun 2024","-","-","-","1464.43"
"NIFTY INDIA FPI 150","31 May 2024","-","-","-","1416.45"
"NIFTY INDIA FPI 150","30 May 2024","-","-","-","1414.43"
"NIFTY INDIA FPI 150","29 May 2024","-","-","-","1431.70"
