"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 500","31 Dec 2024","-","-","-","20224.11"
"NIFTY SMALLCAP 500","30 Dec 2024","-","-","-","20081.31"
"NIFTY SMALLCAP 500","27 Dec 2024","-","-","-","20204.33"
"NIFTY SMALLCAP 500","26 Dec 2024","-","-","-","20143.49"
"NIFTY SMALLCAP 500","24 Dec 2024","-","-","-","20190.08"
"NIFTY SMALLCAP 500","23 Dec 2024","-","-","-","20112.19"
"NIFTY SMALLCAP 500","20 Dec 2024","-","-","-","20226.91"
"NIFTY SMALLCAP 500","19 Dec 2024","-","-","-","20658.80"
"NIFTY SMALLCAP 500","18 Dec 2024","-","-","-","20719.75"
"NIFTY SMALLCAP 500","17 Dec 2024","-","-","-","20880.12"
"NIFTY SMALLCAP 500","16 Dec 2024","-","-","-","20990.36"
"NIFTY SMALLCAP 500","13 Dec 2024","-","-","-","20880.73"
"NIFTY SMALLCAP 500","12 Dec 2024","-","-","-","20954.67"
"NIFTY SMALLCAP 500","11 Dec 2024","-","-","-","21168.99"
"NIFTY SMALLCAP 500","10 Dec 2024","-","-","-","21104.27"
"NIFTY SMALLCAP 500","09 Dec 2024","-","-","-","21019.41"
"NIFTY SMALLCAP 500","06 Dec 2024","-","-","-","20934.95"
"NIFTY SMALLCAP 500","05 Dec 2024","-","-","-","20816.78"
"NIFTY SMALLCAP 500","04 Dec 2024","-","-","-","20741.06"
"NIFTY SMALLCAP 500","03 Dec 2024","-","-","-","20589.37"
"NIFTY SMALLCAP 500","02 Dec 2024","-","-","-","20382.38"
"NIFTY SMALLCAP 500","29 Nov 2024","-","-","-","20230.46"
"NIFTY SMALLCAP 500","28 Nov 2024","-","-","-","20072.01"
"NIFTY SMALLCAP 500","27 Nov 2024","-","-","-","20012.79"
"NIFTY SMALLCAP 500","26 Nov 2024","-","-","-","19771.71"
"NIFTY SMALLCAP 500","25 Nov 2024","-","-","-","19634.34"
"NIFTY SMALLCAP 500","22 Nov 2024","-","-","-","19247.60"
"NIFTY SMALLCAP 500","21 Nov 2024","-","-","-","19069.40"
"NIFTY SMALLCAP 500","19 Nov 2024","-","-","-","19199.13"
"NIFTY SMALLCAP 500","18 Nov 2024","-","-","-","19017.00"
"NIFTY SMALLCAP 500","14 Nov 2024","-","-","-","19140.57"
"NIFTY SMALLCAP 500","13 Nov 2024","-","-","-","18984.12"
"NIFTY SMALLCAP 500","12 Nov 2024","-","-","-","19586.42"
"NIFTY SMALLCAP 500","11 Nov 2024","-","-","-","19845.45"
"NIFTY SMALLCAP 500","08 Nov 2024","-","-","-","20097.89"
"NIFTY SMALLCAP 500","07 Nov 2024","-","-","-","20422.01"
"NIFTY SMALLCAP 500","06 Nov 2024","-","-","-","20548.90"
"NIFTY SMALLCAP 500","05 Nov 2024","-","-","-","20161.94"
"NIFTY SMALLCAP 500","04 Nov 2024","-","-","-","20056.18"
