"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","24 Mar 2026","12819.4","12912","12647.4","12832.90"
"NIFTY 200","23 Mar 2026","12830.6","12839.55","12568.75","12594.30"
"NIFTY 200","20 Mar 2026","12990.65","13129.2","12964.55","12985.40"
"NIFTY 200","19 Mar 2026","13064.1","13133.1","12874.1","12918.65"
"NIFTY 200","18 Mar 2026","13239.05","13396.35","13236.1","13351.15"
"NIFTY 200","17 Mar 2026","13154.6","13247.2","13069.85","13209.35"
"NIFTY 200","16 Mar 2026","12998.25","13162.25","12865.5","13103.60"
"NIFTY 200","13 Mar 2026","13231.15","13247.5","12995.95","13018.25"
"NIFTY 200","12 Mar 2026","13318.05","13420.9","13217.65","13317.80"
"NIFTY 200","11 Mar 2026","13617.45","13666.4","13395.95","13415.70"
"NIFTY 200","10 Mar 2026","13608.65","13643.9","13500.35","13617.75"
"NIFTY 200","09 Mar 2026","13401.95","13481.85","13262.2","13456.55"
"NIFTY 200","06 Mar 2026","13799.8","13841.95","13688.9","13706.00"
"NIFTY 200","05 Mar 2026","13755.85","13894.9","13712.4","13850.45"
"NIFTY 200","04 Mar 2026","13682.35","13743.55","13600.3","13678.05"
"NIFTY 200","02 Mar 2026","13769.9","14019.45","13764.6","13931.30"
"NIFTY 200","27 Feb 2026","14281.35","14288.15","14101.75","14121.05"
"NIFTY 200","26 Feb 2026","14306.5","14328.6","14230.15","14297.55"
"NIFTY 200","25 Feb 2026","14264.75","14336.7","14225.25","14268.65"
"NIFTY 200","24 Feb 2026","14290.45","14290.45","14134.65","14214.45"
"NIFTY 200","23 Feb 2026","14336.85","14380.45","14274.75","14331.00"
"NIFTY 200","20 Feb 2026","14184.4","14325.7","14172.2","14280.85"
"NIFTY 200","19 Feb 2026","14455.2","14458.4","14173.75","14211.95"
"NIFTY 200","18 Feb 2026","14384.75","14435.65","14331.65","14429.20"
"NIFTY 200","17 Feb 2026","14314.45","14382.9","14281.6","14367.20"
"NIFTY 200","16 Feb 2026","14184.35","14342.7","14150.1","14333.65"
"NIFTY 200","13 Feb 2026","14298.95","14313.25","14205.75","14221.90"
"NIFTY 200","12 Feb 2026","14481.75","14481.75","14385.6","14425.50"
"NIFTY 200","11 Feb 2026","14516.6","14519.25","14459.4","14502.15"
"NIFTY 200","10 Feb 2026","14481.25","14507.7","14443.6","14483.45"
"NIFTY 200","09 Feb 2026","14418","14448.15","14374.85","14441.90"
"NIFTY 200","06 Feb 2026","14270.1","14323.55","14182.25","14316.00"
"NIFTY 200","05 Feb 2026","14347.2","14347.7","14252.7","14294.75"
"NIFTY 200","04 Feb 2026","14292.75","14381.35","14210.6","14361.95"
"NIFTY 200","03 Feb 2026","14584.9","14613.55","14261.25","14314.45"
"NIFTY 200","02 Feb 2026","13797.65","13965.5","13696.15","13949.75"
"NIFTY 200","01 Feb 2026","14089.75","14151.6","13637.85","13805.80"
"NIFTY 200","30 Jan 2026","14061.5","14117.05","14019.4","14093.05"
"NIFTY 200","29 Jan 2026","14121.35","14167.2","14013.9","14151.10"
"NIFTY 200","28 Jan 2026","14012.1","14123.45","14001.2","14111.95"
"NIFTY 200","27 Jan 2026","13916.2","14003.8","13816.75","13964.30"
"NIFTY 200","23 Jan 2026","14100.9","14101.6","13872.2","13889.10"
"NIFTY 200","22 Jan 2026","14067.3","14146.35","13991.15","14063.90"
"NIFTY 200","21 Jan 2026","13974.15","14052.8","13812.55","13959.55"
"NIFTY 200","20 Jan 2026","14266.6","14268.35","13988.5","14023.95"
"NIFTY 200","19 Jan 2026","14303.45","14304.8","14233.3","14270.95"
"NIFTY 200","16 Jan 2026","14326.75","14428.3","14306.4","14326.60"
"NIFTY 200","14 Jan 2026","14281.55","14363.35","14267.8","14309.40"
"NIFTY 200","13 Jan 2026","14408.55","14413.35","14231.85","14319.85"
"NIFTY 200","12 Jan 2026","14304.1","14366.05","14163.2","14352.10"
"NIFTY 200","09 Jan 2026","14402.1","14468.75","14266.9","14306.95"
"NIFTY 200","08 Jan 2026","14600.8","14611.7","14408.25","14421.05"
"NIFTY 200","07 Jan 2026","14605.75","14638.4","14571","14615.85"
"NIFTY 200","06 Jan 2026","14626.6","14663.3","14574","14615.75"
"NIFTY 200","05 Jan 2026","14688.85","14700.95","14607","14642.90"
"NIFTY 200","02 Jan 2026","14574.75","14682.45","14565.7","14677.15"
"NIFTY 200","01 Jan 2026","14560.7","14571.25","14518.4","14560.25"
