"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","24 Mar 2026","11799","11876.95","11628.55","11812.80"
"NIFTY TOTAL MARKET","23 Mar 2026","11823.1","11828.75","11554.2","11583.20"
"NIFTY TOTAL MARKET","20 Mar 2026","11973.8","12091.25","11943.5","11962.00"
"NIFTY TOTAL MARKET","19 Mar 2026","12038.5","12090.3","11865.2","11903.05"
"NIFTY TOTAL MARKET","18 Mar 2026","12173.15","12330.6","12168.45","12289.30"
"NIFTY TOTAL MARKET","17 Mar 2026","12095.8","12177.2","12018","12143.60"
"NIFTY TOTAL MARKET","16 Mar 2026","11972","12100.6","11830.65","12047.20"
"NIFTY TOTAL MARKET","13 Mar 2026","12203.85","12213.6","11969.2","11991.65"
"NIFTY TOTAL MARKET","12 Mar 2026","12272.65","12369.3","12166.4","12278.15"
"NIFTY TOTAL MARKET","11 Mar 2026","12527.95","12580.35","12339.1","12357.80"
"NIFTY TOTAL MARKET","10 Mar 2026","12499.3","12544.6","12405.45","12520.80"
"NIFTY TOTAL MARKET","09 Mar 2026","12325.65","12373.75","12180.9","12355.60"
"NIFTY TOTAL MARKET","06 Mar 2026","12673","12720.15","12583.65","12597.10"
"NIFTY TOTAL MARKET","05 Mar 2026","12625.35","12748.85","12585.4","12714.50"
"NIFTY TOTAL MARKET","04 Mar 2026","12574.4","12615.15","12483.95","12554.25"
"NIFTY TOTAL MARKET","02 Mar 2026","12630.25","12886.9","12626.4","12796.60"
"NIFTY TOTAL MARKET","27 Feb 2026","13129.7","13134.95","12968.85","12985.75"
"NIFTY TOTAL MARKET","26 Feb 2026","13150.25","13175.4","13083.8","13143.05"
"NIFTY TOTAL MARKET","25 Feb 2026","13110.45","13172.1","13073.55","13117.65"
"NIFTY TOTAL MARKET","24 Feb 2026","13129.2","13129.2","12986.75","13063.20"
"NIFTY TOTAL MARKET","23 Feb 2026","13173.4","13215.85","13116.75","13166.70"
"NIFTY TOTAL MARKET","20 Feb 2026","13040.7","13157.9","13020.4","13117.40"
"NIFTY TOTAL MARKET","19 Feb 2026","13286.15","13289.8","13030.65","13065.40"
"NIFTY TOTAL MARKET","18 Feb 2026","13220","13267.25","13175.75","13260.50"
"NIFTY TOTAL MARKET","17 Feb 2026","13146","13214.85","13117.45","13201.95"
"NIFTY TOTAL MARKET","16 Feb 2026","13041.7","13169.25","13009.3","13160.70"
"NIFTY TOTAL MARKET","13 Feb 2026","13154.65","13162.05","13062.35","13078.15"
"NIFTY TOTAL MARKET","12 Feb 2026","13325.6","13325.6","13234.15","13268.15"
"NIFTY TOTAL MARKET","11 Feb 2026","13358.75","13360.35","13300.05","13341.65"
"NIFTY TOTAL MARKET","10 Feb 2026","13324.3","13352","13290.45","13328.30"
"NIFTY TOTAL MARKET","09 Feb 2026","13232.2","13291.05","13196.65","13285.45"
"NIFTY TOTAL MARKET","06 Feb 2026","13104.5","13145.9","13014.8","13138.40"
"NIFTY TOTAL MARKET","05 Feb 2026","13187.55","13187.6","13087.35","13130.15"
"NIFTY TOTAL MARKET","04 Feb 2026","13129.9","13216.35","13057.75","13201.55"
"NIFTY TOTAL MARKET","03 Feb 2026","13382.5","13404.5","13094.05","13147.40"
"NIFTY TOTAL MARKET","02 Feb 2026","12669","12820","12559.45","12801.05"
"NIFTY TOTAL MARKET","01 Feb 2026","12931.65","12984.9","12525.05","12678.40"
"NIFTY TOTAL MARKET","30 Jan 2026","12880.35","12953.2","12836.35","12937.95"
"NIFTY TOTAL MARKET","29 Jan 2026","12947.9","12972.9","12841.4","12959.60"
"NIFTY TOTAL MARKET","28 Jan 2026","12826.75","12944.1","12818.65","12932.85"
"NIFTY TOTAL MARKET","27 Jan 2026","12746.35","12820.35","12635.3","12781.75"
"NIFTY TOTAL MARKET","23 Jan 2026","12929.55","12930.15","12705.4","12720.00"
"NIFTY TOTAL MARKET","22 Jan 2026","12893.2","12968.8","12825.3","12893.30"
"NIFTY TOTAL MARKET","21 Jan 2026","12810.1","12874.2","12652.45","12792.45"
"NIFTY TOTAL MARKET","20 Jan 2026","13095.25","13096.6","12823.8","12856.40"
"NIFTY TOTAL MARKET","19 Jan 2026","13141.6","13141.65","13073.25","13099.70"
"NIFTY TOTAL MARKET","16 Jan 2026","13178.3","13261.15","13150.75","13166.30"
"NIFTY TOTAL MARKET","14 Jan 2026","13133.45","13208.9","13121.3","13163.05"
"NIFTY TOTAL MARKET","13 Jan 2026","13232.75","13247.8","13085.6","13165.95"
"NIFTY TOTAL MARKET","12 Jan 2026","13156.25","13193.6","13004.9","13180.35"
"NIFTY TOTAL MARKET","09 Jan 2026","13265.4","13317.05","13129","13161.10"
"NIFTY TOTAL MARKET","08 Jan 2026","13464.45","13472.75","13271.5","13284.55"
"NIFTY TOTAL MARKET","07 Jan 2026","13464.2","13494.45","13434.1","13475.85"
"NIFTY TOTAL MARKET","06 Jan 2026","13493.85","13517.55","13433.95","13472.45"
"NIFTY TOTAL MARKET","05 Jan 2026","13536.9","13548","13467.5","13501.70"
"NIFTY TOTAL MARKET","02 Jan 2026","13430.3","13527.35","13422.45","13522.30"
"NIFTY TOTAL MARKET","01 Jan 2026","13417.75","13424.5","13373.05","13415.40"
