"Index Name","Date","Open","High","Low","Close"
"NIFTY LARGEMIDCAP 250","24 Mar 2026","14933.85","15037.45","14712.1","14960.55"
"NIFTY LARGEMIDCAP 250","23 Mar 2026","14982.95","14985.65","14613.3","14650.10"
"NIFTY LARGEMIDCAP 250","20 Mar 2026","15170.4","15327.7","15132.5","15156.60"
"NIFTY LARGEMIDCAP 250","19 Mar 2026","15270.65","15321.4","15022.3","15075.90"
"NIFTY LARGEMIDCAP 250","18 Mar 2026","15393.2","15619.7","15383.1","15568.10"
"NIFTY LARGEMIDCAP 250","17 Mar 2026","15286.55","15399.3","15185.45","15358.35"
"NIFTY LARGEMIDCAP 250","16 Mar 2026","15157.35","15294.8","14955.1","15221.85"
"NIFTY LARGEMIDCAP 250","13 Mar 2026","15473.8","15495.3","15156.1","15185.15"
"NIFTY LARGEMIDCAP 250","12 Mar 2026","15539.35","15675.3","15386.8","15562.30"
"NIFTY LARGEMIDCAP 250","11 Mar 2026","15874.15","15938","15616.95","15643.55"
"NIFTY LARGEMIDCAP 250","10 Mar 2026","15833.6","15889.4","15713.1","15855.45"
"NIFTY LARGEMIDCAP 250","09 Mar 2026","15619.25","15668.95","15414.45","15644.50"
"NIFTY LARGEMIDCAP 250","06 Mar 2026","16046.9","16119.1","15933","15949.95"
"NIFTY LARGEMIDCAP 250","05 Mar 2026","15972.15","16138.15","15918.15","16094.50"
"NIFTY LARGEMIDCAP 250","04 Mar 2026","15928.4","15952.9","15779.65","15877.70"
"NIFTY LARGEMIDCAP 250","02 Mar 2026","15966","16328.5","15961.35","16196.65"
"NIFTY LARGEMIDCAP 250","27 Feb 2026","16619.05","16623.75","16421.75","16442.55"
"NIFTY LARGEMIDCAP 250","26 Feb 2026","16620.5","16666.7","16549.95","16637.25"
"NIFTY LARGEMIDCAP 250","25 Feb 2026","16559.9","16629.65","16510","16580.45"
"NIFTY LARGEMIDCAP 250","24 Feb 2026","16553.1","16553.15","16382.75","16500.00"
"NIFTY LARGEMIDCAP 250","23 Feb 2026","16626.7","16669.65","16534.5","16600.15"
"NIFTY LARGEMIDCAP 250","20 Feb 2026","16456.95","16615.9","16437.5","16570.25"
"NIFTY LARGEMIDCAP 250","19 Feb 2026","16775.95","16781.8","16445","16490.65"
"NIFTY LARGEMIDCAP 250","18 Feb 2026","16688.95","16755.4","16633.55","16746.10"
"NIFTY LARGEMIDCAP 250","17 Feb 2026","16609.7","16680.65","16567.7","16666.05"
"NIFTY LARGEMIDCAP 250","16 Feb 2026","16467.5","16634.65","16419.75","16623.50"
"NIFTY LARGEMIDCAP 250","13 Feb 2026","16629.75","16632.65","16482.95","16518.00"
"NIFTY LARGEMIDCAP 250","12 Feb 2026","16839.55","16839.55","16715.8","16769.60"
"NIFTY LARGEMIDCAP 250","11 Feb 2026","16876.95","16877.45","16796.2","16857.50"
"NIFTY LARGEMIDCAP 250","10 Feb 2026","16847.8","16873.25","16794.9","16843.05"
"NIFTY LARGEMIDCAP 250","09 Feb 2026","16712.95","16797.05","16669.2","16789.55"
"NIFTY LARGEMIDCAP 250","06 Feb 2026","16552.1","16610.25","16428.15","16598.80"
"NIFTY LARGEMIDCAP 250","05 Feb 2026","16642.7","16642.7","16511.65","16585.05"
"NIFTY LARGEMIDCAP 250","04 Feb 2026","16562.1","16672.75","16461.85","16654.20"
"NIFTY LARGEMIDCAP 250","03 Feb 2026","16842.5","16884.85","16509.55","16582.20"
"NIFTY LARGEMIDCAP 250","02 Feb 2026","15969.5","16170.05","15817.8","16139.75"
"NIFTY LARGEMIDCAP 250","01 Feb 2026","16309.85","16370.25","15760.7","15976.10"
"NIFTY LARGEMIDCAP 250","30 Jan 2026","16243.45","16330.6","16176.95","16309.00"
"NIFTY LARGEMIDCAP 250","29 Jan 2026","16336","16360.4","16196","16344.00"
"NIFTY LARGEMIDCAP 250","28 Jan 2026","16164","16326.65","16155.75","16310.85"
"NIFTY LARGEMIDCAP 250","27 Jan 2026","16060.25","16153.7","15910.6","16106.50"
"NIFTY LARGEMIDCAP 250","23 Jan 2026","16300.4","16301.15","16001.25","16021.80"
"NIFTY LARGEMIDCAP 250","22 Jan 2026","16236.1","16349.35","16160.55","16252.30"
"NIFTY LARGEMIDCAP 250","21 Jan 2026","16154.95","16238.15","15919.45","16104.70"
"NIFTY LARGEMIDCAP 250","20 Jan 2026","16537.45","16538.75","16165.95","16211.65"
"NIFTY LARGEMIDCAP 250","19 Jan 2026","16582.05","16597.55","16508","16544.00"
"NIFTY LARGEMIDCAP 250","16 Jan 2026","16620.05","16730.6","16585.15","16613.20"
"NIFTY LARGEMIDCAP 250","14 Jan 2026","16559.5","16647.45","16536.3","16600.35"
"NIFTY LARGEMIDCAP 250","13 Jan 2026","16690","16716.8","16482.7","16595.45"
"NIFTY LARGEMIDCAP 250","12 Jan 2026","16604.8","16643.65","16400.1","16626.00"
"NIFTY LARGEMIDCAP 250","09 Jan 2026","16727.4","16802.4","16558.8","16607.05"
"NIFTY LARGEMIDCAP 250","08 Jan 2026","16997.7","17002.35","16730.25","16746.90"
"NIFTY LARGEMIDCAP 250","07 Jan 2026","16976.1","17029","16950.3","17008.85"
"NIFTY LARGEMIDCAP 250","06 Jan 2026","17009.8","17035.65","16924.95","16981.05"
"NIFTY LARGEMIDCAP 250","05 Jan 2026","17068.8","17077.75","16961.7","17013.65"
"NIFTY LARGEMIDCAP 250","02 Jan 2026","16926.75","17049.2","16913.8","17043.75"
"NIFTY LARGEMIDCAP 250","01 Jan 2026","16887.7","16908.55","16825.35","16900.55"
