Fund Name,Winrichrank
SBI Large & Midcap Fund (G),1
DSP Large & Mid Cap Fund - Regular (G),2
Kotak Large & Midcap Fund (G),3
AXIS Large & Mid Cap Fund - Regular (G),4
HDFC Large and Mid Cap Fund (G),5
Invesco India Large & Mid Cap Fund (G),6
Bandhan Large & Mid Cap Fund (G),7
Nippon India Vision Large & Mid Cap Fund - (G),8
Mirae Asset Large & Midcap Fund - Regular (G),9
Canara Robeco Large and Mid Cap Fund (G),10
Motilal Oswal Large and Midcap Fund (G),11
Aditya Birla SL Large & Mid Cap Fund (G),12
Sundaram Large and Mid Cap Fund (G),13
UTI-Large & Mid Cap Fund (G),14
Baroda BNP Paribas Large & Mid Cap Fund (G),15
HSBC Large & Mid Cap Fund (G),16
ICICI Pru Large & Mid Cap Fund - (G),17
Quant Large and Mid Cap Fund (G),18
LIC MF Large & Mid Cap Fund - Regular (G),19
PGIM India Large and Mid Cap Fund - Regular (G),20
Tata Large & Mid Cap Fund - Regular (G),21
Mahindra Manulife Large & Mid Cap Fund-Reg (G),22
Bajaj Finserv Large and Mid Cap Fund - Reg (G),23
ITI Large & Mid Cap Fund - Regular (G),24
Edelweiss Large & Mid Cap Fund (G),25
Union Large & Midcap Fund (G),26
WhiteOak Capital Large & Mid Cap Fund - Regular (G),27
Navi Large & Midcap Fund (G),28
Bank of India Large & Mid Cap Fund - Reg (G),29
Helios Large & Mid Cap Fund - Regular (G),30
Bank of India Large & Mid Cap Fund - Eco (G),31
